date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
2002-04-28,TOR,NYI,2,01:35,Nassau Veterans Memorial Coliseum,Adrian Aucoin,Shawn Bates,
2002-04-29,LAK,COL,2,05:08,Pepsi Center,Chris Drury,,
2002-05-01,SJS,COL,2,14:33,Pepsi Center,Chris Drury,,
2002-05-07,DET,STL,1,05:41,Savvis Center,Keith Tkachuk,,None
2002-05-07,DET,STL,2,17:22,Savvis Center,Keith Tkachuk,,
2002-05-07,DET,STL,3,01:53,Savvis Center,Keith Tkachuk,,
2002-05-09,DET,STL,3,18:30,Savvis Center,Keith Tkachuk,Unassisted,None
2002-05-09,DET,STL,1,04:24,Savvis Center,Scott Young,,
2002-05-20,COL,DET,4,02:17,Joe Louis Arena,Chris Drury,,
2002-05-25,DET,COL,3,16:43,Pepsi Center,Chris Drury,,
2003-04-09,NYI,OTT,2,09:06,Corel Centre,Shawn Bates,Adrian Aucoin,
2003-04-10,STL,VAN,2,01:38,General Motors Place,Keith Tkachuk,,
2003-04-11,EDM,DAL,1,14:12,American Airlines Center,Scott Young,,
2003-04-11,EDM,DAL,1,19:10,American Airlines Center,Scott Young,,
2003-04-12,WSH,TBL,3,19:18,St. Pete Times Forum,Mike Grier,Unassisted,None
2003-04-13,NJD,BOS,3,12:00,FleetCenter,Jay Pandolfo,,
2003-04-16,OTT,NYI,2,02:48,Nassau Veterans Memorial Coliseum,Adrian Aucoin,Unassisted,None
2003-04-17,EDM,DAL,1,09:02,American Airlines Center,Scott Young,,
2003-04-19,DAL,EDM,1,00:43,Skyreach Centre,Scott Young,,
2003-04-25,PHI,OTT,1,01:19,Corel Centre,Tony Amonte,,
2003-05-10,NJD,OTT,2,16:51,Corel Centre,Jay Pandolfo,,None
2003-05-13,NJD,OTT,3,14:29,Corel Centre,Jay Pandolfo,,
2003-05-17,OTT,NJD,2,16:43,Continental Airlines Arena,Jay Pandolfo,,
2003-06-05,ANA,NJD,2,09:02,Continental Airlines Arena,Jay Pandolfo,,
2003-06-07,NJD,ANA,2,02:18,Arrowhead Pond,Jay Pandolfo,,
2004-04-12,COL,DAL,2,19:58,American Airlines Center,Scott Young,,
2004-04-12,PHI,NJD,2,03:13,Continental Airlines Arena,Tony Amonte,,
2004-04-22,TOR,PHI,1,07:14,Wachovia Center,Tony Amonte,,
2004-04-28,PHI,TOR,2,18:58,Air Canada Centre,Tony Amonte,,
2006-04-21,ANA,CGY,2,06:17,Pengrowth Saddledome,Tony Amonte,,
2006-04-24,PHI,BUF,1,03:00,HSBC Arena,Chris Drury,,
2006-04-28,BUF,PHI,3,19:41,Wachovia Center,Mike Grier,,Chris Drury
2006-04-29,ANA,CGY,1,05:49,Pengrowth Saddledome,Tony Amonte,,
2006-05-02,BUF,PHI,3,02:12,Wachovia Center,Chris Drury,Mike Grier,None
2006-05-02,BUF,PHI,1,11:16,Wachovia Center,Mike Grier,Chris Drury,
2006-05-02,BUF,PHI,2,19:46,Wachovia Center,Chris Drury,,Mike Grier
2006-05-05,BUF,OTT,1,00:35,Scotiabank Place,Mike Grier,,
