opponent,OppoConference,season
RIT,Atlantic Hockey,2003-24
Sacred Heart,Atlantic Hockey,2003-24
St. Cloud State,Independent,1987-90
St. Cloud State,NCHC,2013-24
St. Cloud State,WCHA,1990-13
St. Francis Xavier,Independent,1920-88
St. Lawrence,ECAC,1961-24
St. Lawrence,Independent,1925-50
St. Lawrence,Tri-State League,1951-61
St. Louis,CCHA,1971-79
St. Louis,Independent,1970-71
St. Nicholas,Non-Collegiate,1920-88
Tech Beavers,Non-Collegiate,1920-88
Toronto,Independent,1920-88
Tufts,NEIHL,1920-88
U.S. National Team,Non-Collegiate,1920-88
UMass Lowell,ECAC,1983-84
UMass Lowell,Hockey East,1984-24
US International,Great West Hockey Conference,1920-88
Union Boat Club,Non-Collegiate,1920-88
Union,ECAC,1991-24
University Club,Non-Collegiate,1920-88
Vermont,ECAC 2,1964-74
Vermont,ECAC,1974-05
Vermont,Hockey East,2005-24
Western Michigan,CCHA,1975-13
Western Michigan,NCHC,2013-24
Williams,Independent,1920-88
Wisconsin,Big Ten,2013-24
Wisconsin,Independent,1921-68
Wisconsin,WCHA,1969-13
Yale,ECAC,1961-24
Yale,Independent,1895-33
Yale,Independent,1943-46
Yale,Ivy League,1955-61
Yale,Pentagonal League,1946-55
Yale,Quadrangular League,1933-43
