season,teamName,name
2008–09,New York Islanders,"Rick DiPietro, Freddy Meyer"
2008–09,Washington Capitals,"Tom Poti, Chris Bourque"
2009–10,Washington Capitals,"Chris Bourque, Tom Poti"
2009–10,Pittsburgh Penguins,"Chris Bourque, John Curry"
2009–10,Anaheim Ducks,"Ryan Whitney, Nick Bonino"
2009–10,New York Islanders,"Freddy Meyer, Rick DiPietro"
2009–10,New York Rangers,"Chris Drury, Matt Gilroy"
2010–11,Colorado Avalanche,"Colby Cohen, Kevin Shattenkirk, Brandon Yip, David Van der Gulik"
2010–11,New York Rangers,"Chris Drury, Matt Gilroy"
2011–12,Colorado Avalanche,"David Van der Gulik, Brandon Yip"
2011–12,Nashville Predators,"Colin Wilson, Brandon Yip"
2011–12,New York Islanders,"Jay Pandolfo, Rick DiPietro"
2012–13,New York Islanders,"Brian Strait, Rick DiPietro"
2012–13,Nashville Predators,"Colin Wilson, Brandon Yip"
2012–13,Boston Bruins,"Chris Bourque, Jay Pandolfo"
2013–14,Florida Panthers,"Ryan Whitney, Matt Gilroy"
2013–14,Minnesota Wild,"Charlie Coyle, John Curry"
2013–14,San Jose Sharks,"John McCarthy, Matt Nieto"
2014–15,Minnesota Wild,"John Curry, Charlie Coyle"
2014–15,Ottawa Senators,"Alex Chiasson, Eric Gryba"
2014–15,Vancouver Canucks,"Nick Bonino, Adam Clendening"
2015–16,San Jose Sharks,"Matt Nieto, John McCarthy"
2015–16,Pittsburgh Penguins,"Nick Bonino, Adam Clendening, David Warsofsky"
2015–16,Buffalo Sabres,"Jack Eichel, Evan Rodrigues"
2015–16,Edmonton Oilers,"Adam Clendening, Eric Gryba"
2015–16,Ottawa Senators,"Matt O'Connor, Alex Chiasson"
2016–17,Boston Bruins,"Jakob Forsbacka Karlsson, Matt Grzelcyk, Charlie McAvoy"
2016–17,Buffalo Sabres,"Jack Eichel, Evan Rodrigues"
2016–17,Colorado Avalanche,"A.J. Greer, Matt Nieto"
2016–17,Pittsburgh Penguins,"Nick Bonino, David Warsofsky"
2016–17,San Jose Sharks,"Danny O'Regan, Matt Nieto"
2016–17,St. Louis Blues,"Kevin Shattenkirk, Wade Megan"
2017–18,Arizona Coyotes,"Clayton Keller, Adam Clendening"
2017–18,Boston Bruins,"Matt Grzelcyk, Charlie McAvoy"
2017–18,Buffalo Sabres,"Jack Eichel, Danny O'Regan, Evan Rodrigues"
2017–18,Colorado Avalanche,"A.J. Greer, Colin Wilson, Matt Nieto, David Warsofsky"
2017–18,Minnesota Wild,"Charlie Coyle, Jordan Greenway"
2018–19,Nashville Predators,"Dante Fabbro, Nick Bonino"
2018–19,Minnesota Wild,"Jordan Greenway, Charlie Coyle"
2018–19,Boston Bruins,"Matt Grzelcyk, Jakob Forsbacka Karlsson, Charlie Coyle, Charlie McAvoy"
2018–19,Buffalo Sabres,"Danny O'Regan, Evan Rodrigues, Jack Eichel"
2018–19,Colorado Avalanche,"Colin Wilson, Matt Nieto, A.J. Greer"
2019–20,Boston Bruins,"Matt Grzelcyk, Charlie Coyle, Charlie McAvoy"
2019–20,Buffalo Sabres,"Evan Rodrigues, Jack Eichel"
2019–20,Colorado Avalanche,"Colin Wilson, Matt Nieto"
2019–20,Nashville Predators,"Dante Fabbro, Nick Bonino"
2020–21,Anaheim Ducks,"Kevin Shattenkirk, Trevor Zegras"
2020–21,Boston Bruins,"Charlie McAvoy, Charlie Coyle, Matt Grzelcyk"
2020–21,Minnesota Wild,"Nick Bonino, Jordan Greenway"
2020–21,Nashville Predators,"Dante Fabbro, David Farrance"
2021–22,Anaheim Ducks,"Trevor Zegras, Kevin Shattenkirk, Danny O'Regan"
2021–22,Boston Bruins,"Charlie Coyle, Matt Grzelcyk, Charlie McAvoy"
2021–22,Philadelphia Flyers,"Joel Farabee, Max Willman"
2021–22,San Jose Sharks,"Nick Bonino, Matt Nieto"
2022–23,San Jose Sharks,"Nick Bonino, Matt Nieto"
2022–23,Philadelphia Flyers,"Joel Farabee, Kieffer Bellows, Max Willman"
2022–23,Boston Bruins,"Charlie McAvoy, Matt Grzelcyk, Charlie Coyle, A.J. Greer"
2022–23,Anaheim Ducks,"Trevor Zegras, Kevin Shattenkirk"
2022–23,Colorado Avalanche,"Matt Nieto, Evan Rodrigues, Shane Bowers"
2023–24,Arizona Coyotes,"Clayton Keller, Cam Crotty"
2023–24,Boston Bruins,"Charlie Coyle, Kevin Shattenkirk, Matt Grzelcyk, Charlie McAvoy"
2023–24,New Jersey Devils,"Max Willman, Shane Bowers"
2024–25,Boston Bruins,"Charlie Coyle, Charlie McAvoy"
2024–25,Chicago Blackhawks,"Alex Vlasic, Ryan Greene, Drew Commesso"
2024–25,Florida Panthers,"Evan Rodrigues, A.J. Greer"
2024–25,Nashville Predators,"Kieffer Bellows, Dante Fabbro"
2024–25,Philadelphia Flyers,"Devin Kaplan, Joel Farabee"
2024–25,Pittsburgh Penguins,"Matt Nieto, Matt Grzelcyk"
2025–26,Columbus Blue Jackets,"Dante Fabbro, Charlie Coyle"
2025–26,Chicago Blackhawks,"Matt Grzelcyk, Alex Vlasic, Ryan Greene"
2025–26,Florida Panthers,"Evan Rodrigues, A.J. Greer"
