last,first,name,height,DOB,homeTown,year,season,city,state,country
Scammell,Palmer,Palmer Scammell,-,,,1934,1934-35,,,
Sherman,Dick,Dick Sherman,-,,,1934,1934-35,,,
Smith,Russell,Russell Smith,-,,,1934,1934-35,,,
Wesson,Dexton,Dexton Wesson,-,,,1934,1934-35,,,
Borofsky,Sydney,Sydney Borofsky,-,,,1935,1935-36,,,
Carvelli,Al,Al Carvelli,-,,,1935,1935-36,,,
Chandler,Carlton,Carlton Chandler,-,,,1935,1935-36,,,
Cleverly,Harry,Harry Cleverly,-,,,1935,1935-36,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9,,,1935,1935-36,,,
Donohue,Joseph,Joseph Donohue,-,,,1935,1935-36,,,
Engberg,Carl,Carl Engberg,-,,,1935,1935-36,,,
Fohlin,Paul,Paul Fohlin,-,,,1935,1935-36,,,
Hartigan,Tom,Tom Hartigan,-,,,1935,1935-36,,,
Hauser,William,William Hauser,-,,,1935,1935-36,,,
Hoar,George,George Hoar,-,,,1935,1935-36,,,
James,Herbert,Herbert James,-,,,1935,1935-36,,,
Kelley,Robert,Robert Kelley,-,,,1935,1935-36,,,
Lynch,Russell,Russell Lynch,-,,,1935,1935-36,,,
Powell,Neil,Neil Powell,-,,,1935,1935-36,,,
Warshaw,Bernard,Bernard Warshaw,-,,,1935,1935-36,,,
Wesson,Dexton,Dexton Wesson,-,,,1935,1935-36,,,
Woodward,Albert,Albert Woodward,-,,,1935,1935-36,,,
Chandler,Carlton,Carlton Chandler,-,,,1936,1936-37,,,
Chilson,Chester,Chester Chilson,-,,,1936,1936-37,,,
Cleverly,Harry,Harry Cleverly,-,,,1936,1936-37,,,
Colburn,Robert,Robert Colburn,-,,,1936,1936-37,,,
Cowdery,Bud,Bud Cowdery,-,,,1936,1936-37,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9,,,1936,1936-37,,,
Dow,Richard,Richard Dow,-,,,1936,1936-37,,,
Engberg,Carl,Carl Engberg,-,,,1936,1936-37,,,
Fagerland,John,John Fagerland,-,,,1936,1936-37,,,
