date,opponent,name,pos,yr,goals,assists,points,season
1984-03-16,Bowling Green,Dale Dunbar,D,JR,0,1,1,1983-84
1984-03-16,Bowling Green,Ed Lowney,F,FR,2,0,2,1983-84
1984-03-16,Bowling Green,Jay Octeau,D,FR,0,1,1,1983-84
1984-03-16,Bowling Green,John Cullen,F,FR,0,2,2,1983-84
1984-03-16,Bowling Green,Kevin Mutch,F,JR,1,0,1,1983-84
1984-03-16,Bowling Green,Mark Pierog,F,SR,1,0,1,1983-84
1984-03-16,Bowling Green,Paul Gerlitz,F,SO,0,1,1,1983-84
1984-03-16,Bowling Green,Scott Shaunessy,D,FR,0,1,1,1983-84
1984-03-16,Bowling Green,T.J. Connolly,D,SR,0,1,1,1983-84
1984-03-16,Bowling Green,Tony Majkozak,F,SO,1,0,1,1983-84
1984-03-17,Bowling Green,Ed Lowney,F,FR,1,0,1,1983-84
1984-03-17,Bowling Green,John Cullen,F,FR,0,1,1,1983-84
1984-10-12,Wisconsin,Brad MacGregor,F,JR,2,0,2,1984-85
1984-10-12,Wisconsin,Tony Majkozak,F,JR,2,0,2,1984-85
1984-10-12,Wisconsin,Unknown,,,2,0,2,1984-85
1984-10-13,Wisconsin,Scott Shaunessy,D,SO,0,1,1,1984-85
1984-10-13,Wisconsin,Peter Marshall,F,JR,1,0,1,1984-85
1984-10-13,Wisconsin,John Cullen,F,SO,1,1,2,1984-85
1984-10-13,Wisconsin,Kevin Mutch,F,SR,0,1,1,1984-85
1984-10-13,Wisconsin,Ed Lowney,F,SO,1,0,1,1984-85
1984-10-13,Wisconsin,David Quinn,D,FR,0,1,1,1984-85
1984-10-13,Wisconsin,Brad MacGregor,F,JR,1,0,1,1984-85
1984-10-13,Wisconsin,Jay Octeau,D,SO,0,1,1,1984-85
1984-10-19,Minnesota,Brad MacGregor,F,JR,1,0,1,1984-85
1984-10-19,Minnesota,Dale Dunbar,D,SR,0,1,1,1984-85
1984-10-19,Minnesota,Jay Octeau,D,SO,0,1,1,1984-85
1984-10-19,Minnesota,Kevin Mutch,F,SR,1,0,1,1984-85
1984-10-20,Minnesota,Kevin Mutch,F,SR,1,3,4,1984-85
1984-10-20,Minnesota,Peter Marshall,F,JR,2,2,4,1984-85
1984-10-20,Minnesota,John Cullen,F,SO,1,0,1,1984-85
1984-10-20,Minnesota,Joe Delorey,D,SR,0,1,1,1984-85
1984-10-20,Minnesota,Joe Cappellano,D,JR,0,1,1,1984-85
1984-10-20,Minnesota,Jay Octeau,D,SO,0,1,1,1984-85
1984-10-20,Minnesota,Dale Dunbar,D,SR,1,2,3,1984-85
1984-10-28,UMass Lowell,Tony Majkozak,F,JR,1,0,1,1984-85
1984-10-28,UMass Lowell,Peter Marshall,F,JR,0,1,1,1984-85
1984-10-28,UMass Lowell,Paul Gerlitz,F,JR,1,1,2,1984-85
1984-10-28,UMass Lowell,Kevin Mutch,F,SR,0,1,1,1984-85
1984-10-28,UMass Lowell,Joe Delorey,D,SR,0,1,1,1984-85
1984-10-28,UMass Lowell,John Cullen,F,SO,2,0,2,1984-85
1984-10-28,UMass Lowell,Dale Dunbar,D,SR,0,2,2,1984-85
1984-10-28,UMass Lowell,Clark Donatelli,F,FR,0,1,1,1984-85
1984-10-28,UMass Lowell,Chuck Sullivan,F,SR,0,1,1,1984-85
1984-10-28,UMass Lowell,Chris Matchett,D,JR,1,1,2,1984-85
1984-10-28,UMass Lowell,Ed Lowney,F,SO,0,1,1,1984-85
1984-11-02,Minnesota Duluth,Paul Gerlitz,F,JR,1,0,1,1984-85
1984-11-02,Minnesota Duluth,Tony Majkozak,F,JR,1,0,1,1984-85
1984-11-02,Minnesota Duluth,Scott Shaunessy,D,SO,1,1,2,1984-85
1984-11-02,Minnesota Duluth,Peter Marshall,F,JR,0,2,2,1984-85
1984-11-02,Minnesota Duluth,Kevin Mutch,F,SR,1,2,3,1984-85
1984-11-02,Minnesota Duluth,John Cullen,F,SO,1,1,2,1984-85
1984-11-02,Minnesota Duluth,Jeff Sveen,F,FR,0,1,1,1984-85
1984-11-02,Minnesota Duluth,Jay Octeau,D,SO,0,1,1,1984-85
1984-11-02,Minnesota Duluth,Ed Lowney,F,SO,1,0,1,1984-85
1984-11-02,Minnesota Duluth,Dale Dunbar,D,SR,0,1,1,1984-85
1984-11-02,Minnesota Duluth,Clark Donatelli,F,FR,0,2,2,1984-85
1984-11-03,Minnesota Duluth,Chris Matchett,D,JR,0,1,1,1984-85
1984-11-03,Minnesota Duluth,Dale Dunbar,D,SR,0,1,1,1984-85
1984-11-03,Minnesota Duluth,Jeff Sveen,F,FR,1,0,1,1984-85
1984-11-03,Minnesota Duluth,Kevin Mutch,F,SR,1,0,1,1984-85
1984-11-03,Minnesota Duluth,Peter Marshall,F,JR,0,1,1,1984-85
1984-11-10,New Hampshire,Tom Ryan,D,FR,0,1,1,1984-85
1984-11-10,New Hampshire,Scott Sanders,F,FR,0,1,1,1984-85
1984-11-10,New Hampshire,Jeff Sveen,F,FR,0,2,2,1984-85
1984-11-10,New Hampshire,Eric Labrosse,F,FR,1,0,1,1984-85
1984-11-10,New Hampshire,Tony Majkozak,F,JR,2,1,3,1984-85
1984-11-10,New Hampshire,Clark Donatelli,F,FR,1,0,1,1984-85
1984-11-10,New Hampshire,Chris Matchett,D,JR,0,1,1,1984-85
1984-11-10,New Hampshire,Brian Foreman,F,FR,1,0,1,1984-85
1984-11-10,New Hampshire,David Quinn,D,FR,0,1,1,1984-85
1984-11-13,Boston College,Clark Donatelli,F,FR,0,1,1,1984-85
1984-11-13,Boston College,Ed Lowney,F,SO,0,1,1,1984-85
1984-11-13,Boston College,Jeff Sveen,F,FR,2,0,2,1984-85
1984-11-13,Boston College,Joe Delorey,D,SR,0,1,1,1984-85
1984-11-13,Boston College,Kevin Mutch,F,SR,0,1,1,1984-85
1984-11-13,Boston College,Peter Marshall,F,JR,1,0,1,1984-85
1984-11-17,Toronto,Tony Majkozak,F,JR,0,1,1,1984-85
1984-11-17,Toronto,Tom Ryan,D,FR,0,1,1,1984-85
1984-11-17,Toronto,Paul Gerlitz,F,JR,0,1,1,1984-85
1984-11-17,Toronto,Kevin Mutch,F,SR,1,0,1,1984-85
1984-11-17,Toronto,Jeff Sveen,F,FR,2,0,2,1984-85
1984-11-17,Toronto,Clark Donatelli,F,FR,0,2,2,1984-85
1984-11-17,Toronto,Ed Lowney,F,SO,0,2,2,1984-85
1984-11-17,Toronto,David Thiesing,D,SO,1,1,2,1984-85
1984-11-17,Toronto,Chris Matchett,D,JR,1,0,1,1984-85
1984-11-17,Toronto,Jay Octeau,D,SO,0,1,1,1984-85
1984-11-24,Northeastern,Scott Shaunessy,D,SO,0,1,1,1984-85
1984-11-24,Northeastern,Tony Majkozak,F,JR,0,1,1,1984-85
1984-11-24,Northeastern,Joe Delorey,D,SR,1,0,1,1984-85
1984-11-24,Northeastern,Clark Donatelli,F,FR,0,1,1,1984-85
1984-11-24,Northeastern,David Quinn,D,FR,1,0,1,1984-85
1984-11-24,Northeastern,Brad MacGregor,F,JR,1,0,1,1984-85
1984-11-24,Northeastern,Jeff Sveen,F,FR,0,1,1,1984-85
1984-11-27,New Hampshire,Brad MacGregor,F,JR,0,1,1,1984-85
1984-11-27,New Hampshire,Brian Foreman,F,FR,0,1,1,1984-85
1984-11-27,New Hampshire,Chris Matchett,D,JR,1,0,1,1984-85
1984-11-27,New Hampshire,Ed Lowney,F,SO,0,1,1,1984-85
1984-11-27,New Hampshire,John Cullen,F,SO,1,0,1,1984-85
1984-11-27,New Hampshire,Kevin Mutch,F,SR,1,0,1,1984-85
1984-11-27,New Hampshire,Paul Gerlitz,F,JR,0,1,1,1984-85
1984-11-27,New Hampshire,Peter Marshall,F,JR,0,1,1,1984-85
1984-11-30,Colorado College,Tony Majkozak,F,JR,1,0,1,1984-85
1984-12-01,Colorado College,Clark Donatelli,F,FR,0,1,1,1984-85
1984-12-01,Colorado College,Jeff Sveen,F,FR,1,0,1,1984-85
1984-12-08,Denver,Tony Majkozak,F,JR,0,1,1,1984-85
1984-12-08,Denver,Scott Shaunessy,D,SO,0,1,1,1984-85
1984-12-08,Denver,John Cullen,F,SO,0,2,2,1984-85
1984-12-08,Denver,Peter Marshall,F,JR,1,1,2,1984-85
1984-12-08,Denver,Ed Lowney,F,SO,2,1,3,1984-85
1984-12-08,Denver,Chris Matchett,D,JR,0,1,1,1984-85
1984-12-08,Denver,Jeff Sveen,F,FR,0,1,1,1984-85
1984-12-08,Denver,Clark Donatelli,F,FR,1,0,1,1984-85
1984-12-09,Denver,Brad MacGregor,F,JR,0,1,1,1984-85
1984-12-09,Denver,Clark Donatelli,F,FR,1,0,1,1984-85
1984-12-09,Denver,Dale Dunbar,D,SR,0,1,1,1984-85
1984-12-09,Denver,David Quinn,D,FR,0,1,1,1984-85
1984-12-09,Denver,John Cullen,F,SO,0,1,1,1984-85
1984-12-09,Denver,Kevin Mutch,F,SR,1,0,1,1984-85
1984-12-09,Denver,Peter Marshall,F,JR,0,1,1,1984-85
1984-12-09,Denver,Scott Shaunessy,D,SO,0,1,1,1984-85
1984-12-09,Denver,Ed Lowney,F,SO,1,0,1,1984-85
1984-12-11,Providence,Tom Ryan,D,FR,1,0,1,1984-85
1984-12-11,Providence,John Cullen,F,SO,4,0,4,1984-85
1984-12-11,Providence,Peter Marshall,F,JR,0,1,1,1984-85
1984-12-11,Providence,Paul Gerlitz,F,JR,0,1,1,1984-85
1984-12-11,Providence,Kevin Mutch,F,SR,0,1,1,1984-85
1984-12-11,Providence,Jeff Sveen,F,FR,0,1,1,1984-85
1984-12-11,Providence,David Quinn,D,FR,1,0,1,1984-85
1984-12-11,Providence,Dale Dunbar,D,SR,0,1,1,1984-85
1984-12-11,Providence,Clark Donatelli,F,FR,1,0,1,1984-85
1984-12-11,Providence,Chris Matchett,D,JR,0,1,1,1984-85
1984-12-11,Providence,Ed Lowney,F,SO,0,2,2,1984-85
1984-12-28,Northern Michigan,Chris Matchett,D,JR,0,1,1,1984-85
1984-12-28,Northern Michigan,David Quinn,D,FR,0,1,1,1984-85
1984-12-28,Northern Michigan,John Cullen,F,SO,1,1,2,1984-85
1984-12-28,Northern Michigan,Scott Shaunessy,D,SO,1,0,1,1984-85
1984-12-28,Northern Michigan,Tom Ryan,D,FR,0,1,1,1984-85
1984-12-29,Northern Michigan,Tony Majkozak,F,JR,1,0,1,1984-85
1984-12-29,Northern Michigan,Peter Marshall,F,JR,0,1,1,1984-85
1984-12-29,Northern Michigan,John Cullen,F,SO,2,0,2,1984-85
1984-12-29,Northern Michigan,Joe Delorey,D,SR,0,1,1,1984-85
1984-12-29,Northern Michigan,Scott Shaunessy,D,SO,1,0,1,1984-85
1984-12-29,Northern Michigan,Eric Labrosse,F,FR,0,1,1,1984-85
1984-12-29,Northern Michigan,Ed Lowney,F,SO,0,2,2,1984-85
1984-12-29,Northern Michigan,Chris Matchett,D,JR,0,1,1,1984-85
1984-12-29,Northern Michigan,Brad MacGregor,F,JR,1,0,1,1984-85
1984-12-29,Northern Michigan,Jeff Sveen,F,FR,0,1,1,1984-85
1985-01-04,North Dakota,Brian Foreman,F,FR,0,1,1,1984-85
1985-01-04,North Dakota,Chuck Sullivan,F,SR,0,1,1,1984-85
1985-01-04,North Dakota,Jay Octeau,D,SO,1,0,1,1984-85
1985-01-04,North Dakota,Jeff Sveen,F,FR,1,0,1,1984-85
1985-01-04,North Dakota,John Cullen,F,SO,1,0,1,1984-85
1985-01-05,North Dakota,Scott Shaunessy,D,SO,1,1,2,1984-85
1985-01-05,North Dakota,John Cullen,F,SO,0,1,1,1984-85
1985-01-05,North Dakota,Chris Matchett,D,JR,0,1,1,1984-85
1985-01-05,North Dakota,Clark Donatelli,F,FR,1,0,1,1984-85
1985-01-05,North Dakota,Joe Delorey,D,SR,0,1,1,1984-85
1985-01-08,Boston College,Chris Matchett,D,JR,0,1,1,1984-85
1985-01-08,Boston College,Jeff Sveen,F,FR,1,0,1,1984-85
1985-01-08,Boston College,Joe Delorey,D,SR,0,1,1,1984-85
1985-01-11,Michigan Tech,Joe Delorey,D,SR,1,0,1,1984-85
1985-01-11,Michigan Tech,Scott Shaunessy,D,SO,0,1,1,1984-85
1985-01-11,Michigan Tech,John Cullen,F,SO,3,2,5,1984-85
1985-01-11,Michigan Tech,Jeff Sveen,F,FR,0,1,1,1984-85
1985-01-11,Michigan Tech,Peter Fish,G,FR,0,1,1,1984-85
1985-01-11,Michigan Tech,Ed Lowney,F,SO,1,0,1,1984-85
1985-01-11,Michigan Tech,Dale Dunbar,D,SR,0,1,1,1984-85
1985-01-11,Michigan Tech,Clark Donatelli,F,FR,0,1,1,1984-85
1985-01-11,Michigan Tech,Jay Octeau,D,SO,0,2,2,1984-85
1985-01-11,Michigan Tech,Chuck Sullivan,F,SR,1,0,1,1984-85
1985-01-12,Michigan Tech,Tom Ryan,D,FR,1,0,1,1984-85
1985-01-12,Michigan Tech,Scott Shaunessy,D,SO,1,1,2,1984-85
1985-01-12,Michigan Tech,Scott Sanders,F,FR,0,1,1,1984-85
1985-01-12,Michigan Tech,Peter Marshall,F,JR,0,2,2,1984-85
1985-01-12,Michigan Tech,John Cullen,F,SO,1,2,3,1984-85
1985-01-12,Michigan Tech,Ed Lowney,F,SO,2,0,2,1984-85
1985-01-12,Michigan Tech,Clark Donatelli,F,FR,0,1,1,1984-85
1985-01-12,Michigan Tech,Chuck Sullivan,F,SR,0,1,1,1984-85
1985-01-18,UMass Lowell,Tom Ryan,D,FR,1,0,1,1984-85
1985-01-18,UMass Lowell,Scott Shaunessy,D,SO,0,2,2,1984-85
1985-01-18,UMass Lowell,John Cullen,F,SO,1,1,2,1984-85
1985-01-18,UMass Lowell,Joe Delorey,D,SR,1,1,2,1984-85
1985-01-18,UMass Lowell,Scott Sanders,F,FR,0,1,1,1984-85
1985-01-18,UMass Lowell,Ed Lowney,F,SO,0,1,1,1984-85
1985-01-18,UMass Lowell,David Thiesing,D,SO,0,1,1,1984-85
1985-01-18,UMass Lowell,Clark Donatelli,F,FR,1,1,2,1984-85
1985-01-18,UMass Lowell,Chuck Sullivan,F,SR,0,1,1,1984-85
1985-01-18,UMass Lowell,Jeff Sveen,F,FR,1,0,1,1984-85
1985-01-20,Maine,Tony Majkozak,F,JR,2,0,2,1984-85
1985-01-20,Maine,Scott Shaunessy,D,SO,1,0,1,1984-85
1985-01-20,Maine,Peter Marshall,F,JR,0,1,1,1984-85
1985-01-20,Maine,John Cullen,F,SO,0,2,2,1984-85
1985-01-20,Maine,Joe Delorey,D,SR,0,1,1,1984-85
1985-01-20,Maine,Jay Octeau,D,SO,1,0,1,1984-85
1985-01-20,Maine,Ed Lowney,F,SO,1,0,1,1984-85
1985-01-20,Maine,David Thiesing,D,SO,0,1,1,1984-85
1985-01-20,Maine,Dale Dunbar,D,SR,0,1,1,1984-85
1985-01-20,Maine,Clark Donatelli,F,FR,1,0,1,1984-85
1985-01-20,Maine,Brad MacGregor,F,JR,0,1,1,1984-85
1985-01-20,Maine,Eric Labrosse,F,FR,0,1,1,1984-85
1985-01-26,Northeastern,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-01-26,Northeastern,Tom Ryan,D,FR,0,1,1,1984-85
1985-01-26,Northeastern,Scott Sanders,F,FR,0,1,1,1984-85
1985-01-26,Northeastern,Peter Marshall,F,JR,1,0,1,1984-85
1985-01-26,Northeastern,Tony Majkozak,F,JR,0,1,1,1984-85
1985-01-26,Northeastern,John Cullen,F,SO,0,1,1,1984-85
1985-01-26,Northeastern,Clark Donatelli,F,FR,1,0,1,1984-85
1985-01-26,Northeastern,Eric Labrosse,F,FR,0,1,1,1984-85
1985-01-26,Northeastern,Dale Dunbar,D,SR,0,1,1,1984-85
1985-01-26,Northeastern,Chuck Sullivan,F,SR,0,1,1,1984-85
1985-01-26,Northeastern,Chris Matchett,D,JR,0,1,1,1984-85
1985-01-26,Northeastern,Brad MacGregor,F,JR,1,0,1,1984-85
1985-01-26,Northeastern,Jeff Sveen,F,FR,2,0,2,1984-85
1985-01-30,New Hampshire,Tony Majkozak,F,JR,0,1,1,1984-85
1985-01-30,New Hampshire,Scott Shaunessy,D,SO,0,1,1,1984-85
1985-01-30,New Hampshire,Scott Sanders,F,FR,0,1,1,1984-85
1985-01-30,New Hampshire,Peter Marshall,F,JR,2,0,2,1984-85
1985-01-30,New Hampshire,Paul Gerlitz,F,JR,1,2,3,1984-85
1985-01-30,New Hampshire,Jeff Sveen,F,FR,2,0,2,1984-85
1985-01-30,New Hampshire,Eric Labrosse,F,FR,2,2,4,1984-85
1985-01-30,New Hampshire,Dale Dunbar,D,SR,0,1,1,1984-85
1985-01-30,New Hampshire,Chris Matchett,D,JR,1,1,2,1984-85
1985-01-30,New Hampshire,Brad MacGregor,F,JR,0,1,1,1984-85
1985-01-30,New Hampshire,John Cullen,F,SO,2,0,2,1984-85
1985-02-04,Harvard,Scott Sanders,F,FR,0,1,1,1984-85
1985-02-04,Harvard,Tony Majkozak,F,JR,1,0,1,1984-85
1985-02-04,Harvard,Tom Ryan,D,FR,1,1,2,1984-85
1985-02-04,Harvard,Peter Marshall,F,JR,0,2,2,1984-85
1985-02-04,Harvard,Chuck Sullivan,F,SR,1,0,1,1984-85
1985-02-04,Harvard,Eric Labrosse,F,FR,1,0,1,1984-85
1985-02-04,Harvard,Ed Lowney,F,SO,0,1,1,1984-85
1985-02-04,Harvard,Clark Donatelli,F,FR,0,1,1,1984-85
1985-02-04,Harvard,John Cullen,F,SO,1,0,1,1984-85
1985-02-07,Providence,Chuck Sullivan,F,SR,0,1,1,1984-85
1985-02-07,Providence,Clark Donatelli,F,FR,2,0,2,1984-85
1985-02-07,Providence,David Quinn,D,FR,0,1,1,1984-85
1985-02-07,Providence,David Thiesing,D,SO,0,1,1,1984-85
1985-02-07,Providence,Jay Octeau,D,SO,0,1,1,1984-85
1985-02-07,Providence,Joe Delorey,D,SR,0,1,1,1984-85
1985-02-07,Providence,John Cullen,F,SO,0,1,1,1984-85
1985-02-07,Providence,Tom Ryan,D,FR,1,0,1,1984-85
1985-02-11,Northeastern,Tom Ryan,D,FR,0,1,1,1984-85
1985-02-11,Northeastern,John Cullen,F,SO,0,1,1,1984-85
1985-02-11,Northeastern,Peter Marshall,F,JR,0,1,1,1984-85
1985-02-11,Northeastern,Chuck Sullivan,F,SR,1,0,1,1984-85
1985-02-11,Northeastern,Ed Lowney,F,SO,1,0,1,1984-85
1985-02-15,Maine,Chris Matchett,D,JR,1,0,1,1984-85
1985-02-15,Maine,Clark Donatelli,F,FR,0,2,2,1984-85
1985-02-15,Maine,Dale Dunbar,D,SR,0,3,3,1984-85
1985-02-15,Maine,Ed Lowney,F,SO,2,2,4,1984-85
1985-02-15,Maine,Jay Octeau,D,SO,0,3,3,1984-85
1985-02-15,Maine,John Cullen,F,SO,2,2,4,1984-85
1985-02-15,Maine,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-02-15,Maine,Tony Majkozak,F,JR,2,0,2,1984-85
1985-02-16,Maine,Tony Majkozak,F,JR,0,1,1,1984-85
1985-02-16,Maine,Scott Sanders,F,FR,0,1,1,1984-85
1985-02-16,Maine,Jeff Sveen,F,FR,1,0,1,1984-85
1985-02-16,Maine,Jay Octeau,D,SO,0,1,1,1984-85
1985-02-16,Maine,Eric Labrosse,F,FR,1,0,1,1984-85
1985-02-16,Maine,Peter Marshall,F,JR,0,1,1,1984-85
1985-02-16,Maine,David Thiesing,D,SO,0,1,1,1984-85
1985-02-16,Maine,Ed Lowney,F,SO,1,2,3,1984-85
1985-02-16,Maine,Brad MacGregor,F,JR,1,2,3,1984-85
1985-02-16,Maine,Brian Foreman,F,FR,1,0,1,1984-85
1985-02-16,Maine,John Cullen,F,SO,1,2,3,1984-85
1985-02-16,Maine,Chris Matchett,D,JR,1,2,3,1984-85
1985-02-16,Maine,Clark Donatelli,F,FR,0,1,1,1984-85
1985-02-19,Providence,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-02-19,Providence,Brad MacGregor,F,JR,1,0,1,1984-85
1985-02-19,Providence,Clark Donatelli,F,FR,1,0,1,1984-85
1985-02-19,Providence,Eric Labrosse,F,FR,0,1,1,1984-85
1985-02-19,Providence,John Cullen,F,SO,0,1,1,1984-85
1985-02-24,Northeastern,Tony Majkozak,F,JR,0,1,1,1984-85
1985-02-24,Northeastern,Peter Marshall,F,JR,0,2,2,1984-85
1985-02-24,Northeastern,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-02-24,Northeastern,John Cullen,F,SO,0,1,1,1984-85
1985-02-24,Northeastern,Chris Matchett,D,JR,1,0,1,1984-85
1985-02-24,Northeastern,Dale Dunbar,D,SR,1,0,1,1984-85
1985-02-24,Northeastern,Brian Foreman,F,FR,1,0,1,1984-85
1985-02-24,Northeastern,David Quinn,D,FR,0,1,1,1984-85
1985-02-27,UMass Lowell,Tom Ryan,D,FR,0,1,1,1984-85
1985-02-27,UMass Lowell,Scott Shaunessy,D,SO,1,2,3,1984-85
1985-02-27,UMass Lowell,Peter Marshall,F,JR,1,1,2,1984-85
1985-02-27,UMass Lowell,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-02-27,UMass Lowell,Ed Lowney,F,SO,0,1,1,1984-85
1985-02-27,UMass Lowell,Chuck Sullivan,F,SR,2,0,2,1984-85
1985-02-27,UMass Lowell,Chris Matchett,D,JR,0,2,2,1984-85
1985-02-27,UMass Lowell,John Cullen,F,SO,1,1,2,1984-85
1985-03-03,Boston College,Clark Donatelli,F,FR,1,1,2,1984-85
1985-03-03,Boston College,Dale Dunbar,D,SR,0,1,1,1984-85
1985-03-03,Boston College,Ed Lowney,F,SO,1,0,1,1984-85
1985-03-03,Boston College,John Cullen,F,SO,0,2,2,1984-85
1985-03-09,Maine,Tom Ryan,D,FR,1,1,2,1984-85
1985-03-09,Maine,Scott Shaunessy,D,SO,0,2,2,1984-85
1985-03-09,Maine,Peter Marshall,F,JR,1,2,3,1984-85
1985-03-09,Maine,Paul Gerlitz,F,JR,1,0,1,1984-85
1985-03-09,Maine,John Cullen,F,SO,0,1,1,1984-85
1985-03-09,Maine,Joe Delorey,D,SR,0,1,1,1984-85
1985-03-09,Maine,David Quinn,D,FR,0,2,2,1984-85
1985-03-09,Maine,Ed Lowney,F,SO,2,1,3,1984-85
1985-03-09,Maine,Dale Dunbar,D,SR,0,1,1,1984-85
1985-03-09,Maine,Chuck Sullivan,F,SR,1,0,1,1984-85
1985-03-09,Maine,Chris Matchett,D,JR,0,1,1,1984-85
1985-03-09,Maine,Eric Labrosse,F,FR,1,0,1,1984-85
1985-03-10,Maine,John Cullen,F,SO,0,2,2,1984-85
1985-03-10,Maine,Scott Shaunessy,D,SO,0,2,2,1984-85
1985-03-10,Maine,Paul Gerlitz,F,JR,1,0,1,1984-85
1985-03-10,Maine,Joe Delorey,D,SR,0,1,1,1984-85
1985-03-10,Maine,Brad MacGregor,F,JR,0,1,1,1984-85
1985-03-10,Maine,Clark Donatelli,F,FR,1,1,2,1984-85
1985-03-10,Maine,Chris Matchett,D,JR,1,0,1,1984-85
1985-03-10,Maine,Ed Lowney,F,SO,1,1,2,1984-85
1985-03-15,Providence,Clark Donatelli,F,FR,2,0,2,1984-85
1985-03-15,Providence,Jay Octeau,D,SO,0,1,1,1984-85
1985-03-15,Providence,John Cullen,F,SO,0,1,1,1984-85
1985-03-15,Providence,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-03-16,UMass Lowell,John Cullen,F,SO,1,1,2,1984-85
1985-03-16,UMass Lowell,Brad MacGregor,F,JR,1,1,2,1984-85
1985-03-16,UMass Lowell,Chris Matchett,D,JR,1,1,2,1984-85
1985-03-16,UMass Lowell,Clark Donatelli,F,FR,2,0,2,1984-85
1985-03-16,UMass Lowell,David Quinn,D,FR,0,1,1,1984-85
1985-03-16,UMass Lowell,Ed Lowney,F,SO,0,1,1,1984-85
1985-03-16,UMass Lowell,Eric Labrosse,F,FR,1,1,2,1984-85
1985-03-16,UMass Lowell,Joe Delorey,D,SR,0,1,1,1984-85
1985-03-16,UMass Lowell,Paul Gerlitz,F,JR,0,1,1,1984-85
1985-10-26,Northeastern,Chris Matchett,D,SR,0,1,1,1985-86
1985-10-26,Northeastern,Clark Donatelli,F,SO,0,2,2,1985-86
1985-10-26,Northeastern,Ed Lowney,F,JR,2,0,2,1985-86
1985-10-26,Northeastern,Jay Octeau,D,JR,0,1,1,1985-86
1985-10-26,Northeastern,John Cullen,F,JR,1,1,2,1985-86
1985-10-29,Providence,Brian Foreman,F,SO,0,1,1,1985-86
1985-10-29,Providence,Clark Donatelli,F,SO,1,1,2,1985-86
1985-10-29,Providence,David Quinn,D,SO,0,2,2,1985-86
1985-10-29,Providence,Ed Lowney,F,JR,2,0,2,1985-86
1985-10-29,Providence,Eric Labrosse,F,SO,1,0,1,1985-86
1985-10-29,Providence,John Cullen,F,JR,0,3,3,1985-86
1985-11-01,Maine,Scott Young,F,FR,0,1,1,1985-86
1985-11-01,Maine,Scott Shaunessy,D,JR,0,1,1,1985-86
1985-11-01,Maine,Mike Kelfer,F,FR,0,2,2,1985-86
1985-11-01,Maine,Jeff Sveen,F,SO,1,0,1,1985-86
1985-11-01,Maine,John Cullen,F,JR,0,1,1,1985-86
1985-11-01,Maine,Eric Labrosse,F,SO,1,0,1,1985-86
1985-11-01,Maine,Clark Donatelli,F,SO,1,0,1,1985-86
1985-11-01,Maine,Chris Matchett,D,SR,0,1,1,1985-86
1985-11-01,Maine,Brian Foreman,F,SO,0,1,1,1985-86
1985-11-01,Maine,Jay Octeau,D,JR,1,1,2,1985-86
1985-11-08,Michigan Tech,Scott Young,F,FR,1,0,1,1985-86
1985-11-08,Michigan Tech,Scott Shaunessy,D,JR,1,0,1,1985-86
1985-11-08,Michigan Tech,Mike Kelfer,F,FR,2,0,2,1985-86
1985-11-08,Michigan Tech,John Cullen,F,JR,0,1,1,1985-86
1985-11-08,Michigan Tech,Jeff Sveen,F,SO,0,1,1,1985-86
1985-11-08,Michigan Tech,Eric Labrosse,F,SO,0,2,2,1985-86
1985-11-08,Michigan Tech,Ed Lowney,F,JR,1,0,1,1985-86
1985-11-08,Michigan Tech,Clark Donatelli,F,SO,1,0,1,1985-86
1985-11-08,Michigan Tech,Chris Matchett,D,SR,0,2,2,1985-86
1985-11-08,Michigan Tech,Brian Foreman,F,SO,0,1,1,1985-86
1985-11-08,Michigan Tech,Jay Octeau,D,JR,0,2,2,1985-86
1985-11-09,Michigan Tech,John Cullen,F,JR,0,3,3,1985-86
1985-11-09,Michigan Tech,Peter Marshall,F,SR,1,0,1,1985-86
1985-11-09,Michigan Tech,Jeff Sveen,F,SO,1,0,1,1985-86
1985-11-09,Michigan Tech,Scott Young,F,FR,0,1,1,1985-86
1985-11-09,Michigan Tech,David Quinn,D,SO,1,0,1,1985-86
1985-11-09,Michigan Tech,Clark Donatelli,F,SO,2,0,2,1985-86
1985-11-09,Michigan Tech,Brad MacGregor,F,SR,0,1,1,1985-86
1985-11-09,Michigan Tech,Ed Lowney,F,JR,0,3,3,1985-86
1985-11-13,Boston College,Clark Donatelli,F,SO,0,1,1,1985-86
1985-11-13,Boston College,Jay Octeau,D,JR,1,0,1,1985-86
1985-11-13,Boston College,John Cullen,F,JR,0,1,1,1985-86
1985-11-16,UMass Lowell,Scott Young,F,FR,0,1,1,1985-86
1985-11-16,UMass Lowell,Scott Sanders,F,SO,1,0,1,1985-86
1985-11-16,UMass Lowell,Peter Marshall,F,SR,0,1,1,1985-86
1985-11-16,UMass Lowell,Mike Kelfer,F,FR,0,1,1,1985-86
1985-11-16,UMass Lowell,John Cullen,F,JR,2,2,4,1985-86
